amount,hour,location_code,device_type,transaction_type,prev_txn_count,fraud
139.04,11,0,1,1,4,0
288.2,2,1,2,2,18,1
4844.62,15,0,0,1,2,0
4289.23,13,1,1,1,2,0
2007.86,20,0,0,0,2,0
588.33,20,1,1,0,5,0
2314.8,8,0,1,1,4,0
3130.16,20,0,0,1,4,0
452.34,0,1,2,1,19,1
2758.14,16,1,0,0,0,0
596.04,21,0,0,2,2,0
1374.12,21,1,0,0,3,0
1923.71,17,0,0,1,3,0
3939.92,12,0,0,2,2,0
2903.24,18,1,0,1,4,0
1668.54,20,1,0,1,1,0
1201.4,14,0,0,0,2,0
3528.38,20,1,0,2,5,0
2481.19,8,0,1,2,2,0
4371.34,15,0,1,1,0,0
2055.38,18,0,0,1,2,0
3465.9,18,0,0,2,4,0
1589.82,19,1,1,0,4,0
33402.25,23,1,1,1,20,1
4363.3,15,0,1,1,0,0
217.35,3,1,0,2,17,1
908.3,10,0,1,1,4,0
2492.86,17,0,0,1,5,0
1283.82,8,1,0,2,4,0
2213.79,13,0,1,1,5,0
4227.22,11,1,0,0,1,0
1800.85,12,0,0,2,3,0
2833.42,18,0,1,2,3,0
4514.74,20,0,1,1,1,0
3107.63,18,0,1,0,5,0
1551.27,15,0,1,1,5,0
230.69,1,1,0,2,16,1
1369.64,10,0,0,1,5,0
4022.32,15,0,0,0,5,0
4898.93,21,0,0,1,0,0
626.58,13,0,1,1,5,0
550.54,11,1,0,2,4,0
3053.7,18,0,1,1,5,0
2046.99,10,0,0,1,3,0
315.02,3,2,2,2,17,1
780.91,14,0,0,2,3,0
1405.62,19,0,0,1,3,0
4277.84,9,0,1,2,2,0
487.28,0,1,2,1,8,1
1225.17,10,0,0,2,1,0
4066.32,11,0,0,2,0,0
4919.32,10,0,0,0,5,0
667.57,13,0,1,1,0,0
271.42,19,1,1,0,5,0
25172.38,3,1,2,1,19,1
4335.37,16,0,0,2,0,0
26554.19,3,2,0,1,13,1
337.69,12,0,0,2,4,0
2532.19,14,0,1,0,5,0
3846.36,19,0,0,1,1,0
4137.99,14,1,1,0,2,0
3328.22,13,0,1,1,0,0
272.75,1,1,2,2,18,1
366.14,23,1,1,2,13,1
161.89,1,1,1,2,9,1
2874.18,20,1,1,2,4,0
2787.57,17,0,0,0,2,0
1551.52,13,0,0,0,1,0
2009.51,10,0,0,2,4,0
2104.54,13,0,0,1,5,0
4706.68,17,0,0,0,1,0
258.27,9,0,0,2,3,0
2215.36,12,0,1,0,2,0
1423.12,18,1,1,2,2,0
22786.85,1,2,0,1,20,1
1647.0,8,1,1,1,1,0
192.04,0,2,2,1,14,1
444.84,22,2,2,2,12,1
229.91,23,2,0,2,9,1
2947.88,16,0,0,1,5,0
1671.68,10,0,1,2,0,0
977.39,20,0,0,2,5,0
1188.75,10,0,0,0,4,0
3797.41,9,0,1,1,3,0
3801.03,15,0,1,1,1,0
2349.45,18,0,0,2,0,0
380.14,15,1,0,0,2,0
392.81,21,0,1,2,4,0
2905.26,20,0,0,2,5,0
3028.37,16,0,0,1,0,0
4187.67,19,0,1,2,1,0
36842.98,2,2,1,2,14,1
3397.02,8,0,0,1,0,0
1938.57,12,0,0,0,4,0
4583.65,12,1,0,2,5,0
1554.5,14,0,0,2,5,0
3695.75,18,0,1,2,3,0
100.95,12,0,0,1,3,0
4998.88,10,0,0,0,4,0
4176.41,16,0,1,1,4,0
21952.39,23,2,0,2,13,1
1195.04,15,0,1,1,1,0
1553.94,20,1,0,1,5,0
4921.37,15,0,0,2,4,0
818.51,11,0,0,0,5,0
1861.98,9,0,0,0,1,0
4526.57,10,1,0,0,3,0
4652.12,14,0,0,2,2,0
4971.69,13,0,0,1,0,0
3252.65,20,0,0,0,2,0
2367.08,21,0,1,1,3,0
4529.32,8,0,0,0,4,0
3047.7,14,0,0,0,2,0
355.58,0,1,1,1,18,1
1217.03,10,0,0,0,4,0
2857.04,10,0,1,1,0,0
2724.42,20,0,0,1,0,0
4904.41,12,0,0,0,2,0
3288.29,9,0,0,0,2,0
4068.6,10,1,1,1,5,0
682.78,19,1,0,1,1,0
116.76,22,2,2,2,12,1
34110.52,23,2,1,1,20,1
4447.65,19,1,0,1,1,0
2492.14,20,0,0,2,3,0
428.94,2,1,0,2,18,1
2234.67,19,1,0,2,3,0
221.31,21,0,1,1,2,0
3958.68,8,0,1,2,3,0
4006.67,18,0,0,0,4,0
2196.04,10,0,0,2,2,0
4746.89,8,0,1,1,2,0
3817.03,17,0,1,1,3,0
1400.38,9,0,1,0,3,0
4567.66,9,0,0,2,3,0
3062.66,19,1,0,0,1,0
2265.24,19,1,0,2,2,0
3549.9,16,0,0,0,5,0
3503.39,10,0,1,0,0,0
3961.62,11,1,0,1,4,0
2341.89,16,0,1,0,0,0
4996.98,19,1,1,1,3,0
377.94,13,0,0,1,5,0
650.26,21,0,0,1,4,0
286.45,9,0,0,0,1,0
3548.86,13,0,0,1,1,0
2758.15,10,0,1,2,0,0
851.32,17,0,0,2,4,0
3029.04,21,0,0,0,0,0
3856.63,12,0,1,1,4,0
2494.71,18,0,1,1,3,0
4037.87,14,0,0,0,5,0
24782.25,2,1,1,2,19,1
1733.05,14,0,0,2,4,0
149.01,1,1,0,1,12,1
4321.31,14,0,0,1,4,0
957.08,10,1,1,1,3,0
2491.38,9,1,1,1,1,0
1770.59,8,0,0,2,5,0
1435.6,8,0,0,0,2,0
3820.88,13,0,0,0,4,0
1818.63,12,0,0,2,3,0
1405.53,17,0,0,0,3,0
4933.08,16,0,0,0,4,0
2504.89,8,0,0,2,2,0
2600.95,10,0,0,2,2,0
4952.18,19,0,1,1,4,0
2665.84,19,0,0,0,2,0
556.82,14,0,1,2,5,0
26356.56,23,1,2,2,10,1
3607.98,20,1,0,2,1,0
47669.23,3,2,1,1,14,1
2057.37,20,1,1,2,0,0
2597.71,16,0,1,1,4,0
4782.9,15,0,1,1,5,0
3606.69,18,0,1,1,1,0
1401.96,12,0,0,1,5,0
3527.19,13,1,0,2,5,0
618.03,18,1,0,1,1,0
1444.99,19,0,0,1,5,0
2400.13,11,0,1,2,2,0
32705.47,0,1,2,1,8,1
19863.21,0,1,1,2,15,1
3781.24,12,0,0,2,0,0
456.32,17,0,1,2,5,0
196.08,10,1,0,0,3,0
939.51,19,0,0,0,2,0
545.32,13,0,0,2,4,0
4446.52,10,1,0,0,0,0
3657.55,18,0,1,0,0,0
3955.14,17,0,0,2,5,0
4135.85,16,0,0,1,5,0
49175.83,0,2,1,1,15,1
4769.68,12,0,0,2,2,0
319.94,9,1,0,0,3,0
4615.38,19,0,1,0,5,0
1481.94,17,0,0,0,3,0
3740.45,17,0,0,2,4,0
3788.42,20,0,0,2,4,0
418.45,15,0,0,2,0,0
29644.22,1,2,2,2,9,1
3586.7,15,0,1,1,0,0
2570.59,15,0,1,1,5,0
3618.44,14,0,0,2,1,0
235.95,13,0,1,0,0,0
2365.16,12,1,0,0,5,0
3232.3,14,0,0,1,3,0
3416.14,18,0,1,1,0,0
2690.38,16,0,1,0,0,0
4891.69,15,1,1,1,1,0
1736.99,12,0,1,0,0,0
2101.59,20,0,0,0,0,0
6510.93,1,1,1,2,11,1
3773.63,20,0,0,2,2,0
4581.9,17,0,1,2,5,0
1191.91,10,0,0,1,2,0
47683.41,23,2,2,2,8,1
4707.57,18,1,1,1,5,0
754.45,14,0,1,1,1,0
1510.37,19,0,0,0,4,0
2087.96,16,0,0,0,2,0
3236.42,15,0,0,2,5,0
267.12,14,0,0,0,4,0
2798.11,15,0,0,1,0,0
958.03,19,0,1,1,1,0
3521.1,14,0,1,1,2,0
2672.38,13,0,0,1,4,0
2334.89,20,1,0,0,2,0
238.07,21,0,1,0,0,0
4673.51,17,1,0,0,1,0
1905.02,21,0,0,2,5,0
1694.11,20,1,1,2,5,0
849.32,20,0,0,0,5,0
928.21,16,0,1,0,0,0
3343.73,20,0,0,0,5,0
3538.07,8,0,1,1,2,0
473.56,23,2,0,1,16,1
69.12,16,0,1,1,0,0
3491.62,14,0,0,0,4,0
310.58,2,2,0,2,14,1
1223.36,19,0,0,2,0,0
4291.66,20,0,0,1,3,0
2384.79,18,0,1,0,0,0
2174.78,20,0,1,0,4,0
1156.31,21,1,0,0,0,0
1408.78,16,0,0,1,0,0
2938.72,20,1,0,1,1,0
2837.25,21,1,1,2,2,0
3700.59,20,0,1,2,2,0
435.47,22,2,1,1,18,1
4962.01,15,0,0,2,3,0
3401.0,18,1,0,2,2,0
3567.7,9,0,0,1,5,0
779.69,14,0,0,0,0,0
243.97,0,1,0,1,14,1
2777.6,14,0,0,0,2,0
2988.06,20,0,0,0,2,0
3897.27,19,0,1,2,1,0
855.64,12,0,0,1,1,0
268.44,0,2,1,1,19,1
2972.5,11,1,0,0,2,0
436.65,2,2,1,2,18,1
689.12,13,0,0,1,1,0
4842.97,12,1,1,0,2,0
4083.49,14,0,0,2,1,0
2732.14,18,0,1,1,5,0
3989.65,21,0,0,2,3,0
18627.47,23,2,1,1,15,1
2400.9,14,1,1,0,2,0
4062.55,17,0,0,0,5,0
839.86,17,0,1,2,5,0
4833.42,13,1,0,0,0,0
2557.76,16,0,0,1,3,0
3400.3,19,0,0,0,3,0
23718.89,23,1,1,2,13,1
1042.06,15,0,0,0,3,0
2267.26,9,0,0,2,0,0
20438.51,23,1,2,1,16,1
2803.09,15,0,0,2,1,0
3289.31,14,0,1,2,1,0
2153.04,8,0,0,1,5,0
322.13,9,0,0,1,1,0
1318.88,21,1,1,2,2,0
3059.82,17,0,0,1,3,0
4069.74,19,0,1,2,0,0
1572.48,11,0,0,0,2,0
2558.51,14,0,1,1,3,0
3180.52,19,0,1,0,3,0
943.43,21,1,1,0,2,0
2427.71,11,1,1,2,5,0
3425.95,14,1,0,0,0,0
3980.65,11,0,0,1,1,0
849.19,15,1,1,2,0,0
1346.5,16,0,1,0,5,0
1100.31,14,0,1,2,1,0
4995.57,15,0,0,0,3,0
595.64,20,0,0,2,4,0
4305.77,17,1,0,2,1,0
4068.7,20,0,1,1,4,0
2697.92,13,0,0,2,2,0
2576.42,18,0,0,1,0,0
4335.7,10,0,0,0,5,0
1245.05,21,1,0,0,4,0
3142.16,14,1,0,2,0,0
3750.76,19,0,0,1,2,0
4344.98,21,0,1,1,5,0
1797.17,9,1,0,1,1,0
1620.77,12,0,1,2,1,0
2431.35,13,0,0,0,5,0
2302.85,9,0,0,1,0,0
2144.29,19,0,1,1,1,0
4383.33,9,0,0,0,2,0
3247.42,8,1,1,1,5,0
1178.14,18,0,1,0,0,0
398.84,17,0,1,2,3,0
426.84,23,1,1,1,11,1
3655.78,9,0,0,1,2,0
39805.72,23,1,0,1,17,1
2205.66,19,0,1,2,1,0
3083.6,15,0,0,0,1,0
2951.38,14,0,0,1,1,0
3226.01,11,0,1,0,5,0
1034.97,17,0,1,1,2,0
3920.39,20,0,0,1,0,0
3193.39,9,0,0,1,1,0
4195.64,14,0,1,2,1,0
4771.77,20,0,0,2,0,0
469.03,22,2,2,2,14,1
421.23,16,0,0,0,2,0
46441.62,22,2,1,1,12,1
3651.76,21,0,0,0,0,0
588.66,17,0,0,2,5,0
886.3,8,0,1,0,1,0
1739.71,16,0,0,1,1,0
4367.69,19,0,0,1,3,0
328.66,19,0,0,1,4,0
2502.55,17,0,0,0,2,0
4471.51,18,0,0,2,4,0
43641.01,3,2,1,1,10,1
4287.99,16,1,0,1,1,0
3603.52,12,0,1,1,0,0
4509.78,10,0,1,0,3,0
212.92,2,1,2,2,8,1
1464.77,20,0,1,2,1,0
2961.95,15,0,1,2,1,0
4661.73,8,0,1,1,5,0
4386.34,13,0,1,1,5,0
528.6,16,0,0,1,0,0
720.3,12,0,0,0,4,0
4478.04,15,0,1,0,4,0
41898.33,3,1,0,2,12,1
4630.02,14,0,0,1,2,0
4717.39,10,0,0,0,1,0
1576.71,9,0,0,1,2,0
4263.03,9,0,1,1,5,0
211.21,21,0,0,0,5,0
1784.8,16,0,1,1,2,0
877.43,14,1,1,2,4,0
2315.13,20,0,0,0,0,0
4912.03,10,0,0,1,5,0
3226.33,17,0,0,0,0,0
3232.83,20,0,0,1,0,0
167.2,23,2,1,1,14,1
872.14,11,0,0,1,3,0
182.87,17,0,1,1,3,0
2757.39,8,0,0,1,1,0
3216.19,20,0,1,2,0,0
3910.98,13,1,1,1,2,0
2516.44,14,0,0,0,2,0
156.19,20,0,0,1,4,0
2923.52,11,0,0,0,5,0
2672.58,20,0,0,2,3,0
4196.88,21,0,0,0,4,0
3692.41,13,0,1,2,2,0
2821.83,17,0,0,2,2,0
199.4,8,0,1,0,0,0
13.41,17,0,0,1,5,0
4013.3,21,0,0,0,1,0
4586.03,20,0,1,1,0,0
4709.25,14,0,0,1,2,0
479.48,23,2,0,2,11,1
4073.31,14,0,1,2,2,0
479.52,22,1,0,2,20,1
1112.05,17,0,0,0,2,0
1197.36,13,0,1,0,5,0
3648.41,13,1,0,1,1,0
348.23,12,0,1,0,0,0
3664.86,10,1,0,1,2,0
516.03,15,0,0,1,0,0
176.7,8,0,0,0,0,0
4439.89,10,0,1,0,2,0
3071.47,15,0,0,2,1,0
2176.23,8,0,0,0,1,0
2774.47,19,0,1,1,2,0
257.63,17,1,0,0,2,0
429.56,1,1,0,1,10,1
4884.54,15,0,0,1,3,0
3307.93,9,1,0,1,3,0
2233.97,12,1,0,1,1,0
2825.03,10,0,0,2,2,0
2075.38,20,0,1,0,3,0
2098.56,16,1,1,0,3,0
1979.68,21,0,1,2,4,0
3390.22,17,0,0,1,1,0
843.99,11,0,0,0,3,0
35740.65,22,2,1,1,9,1
1992.4,13,0,1,1,0,0
3118.44,16,1,0,1,1,0
31457.04,0,1,1,2,14,1
3276.74,17,1,0,0,2,0
3094.42,18,1,0,1,2,0
255.91,15,0,0,0,2,0
1521.94,12,1,1,2,0,0
1147.28,12,1,0,1,5,0
3230.67,11,1,0,1,5,0
2586.83,13,0,1,0,0,0
2538.4,10,0,0,0,1,0
1254.71,15,0,0,2,1,0
4118.47,16,1,1,0,5,0
21761.0,3,2,1,1,12,1
3446.68,12,0,0,0,1,0
3900.57,11,0,1,0,5,0
3260.77,16,0,1,0,3,0
3239.74,17,0,0,1,4,0
1533.94,19,0,0,1,2,0
1098.64,12,1,1,0,0,0
3314.49,21,0,1,2,4,0
1499.1,9,1,0,1,2,0
4307.98,12,0,0,0,4,0
4498.54,20,1,1,1,5,0
298.95,2,2,1,2,19,1
36863.1,2,1,2,2,18,1
1507.67,10,0,0,0,3,0
16639.33,23,2,2,1,11,1
3722.86,12,1,0,1,2,0
2323.7,9,1,0,2,4,0
3106.45,15,0,1,0,5,0
1498.5,8,0,0,0,2,0
2850.75,15,0,0,2,1,0
2442.54,18,0,0,2,0,0
17308.75,22,1,1,1,10,1
3170.47,14,1,0,1,0,0
13973.64,2,1,0,1,18,1
1138.84,13,0,0,0,3,0
1537.21,9,0,0,1,3,0
2985.29,13,1,1,0,2,0
2455.5,20,0,0,1,0,0
3637.85,10,0,1,0,4,0
624.46,19,0,0,2,2,0
3118.82,17,0,1,0,5,0
250.64,9,1,0,1,0,0
2376.76,10,0,1,2,5,0
140.39,22,1,1,1,16,1
597.38,9,0,0,0,4,0
1322.08,16,0,0,2,3,0
206.6,15,0,1,1,2,0
73.61,9,0,1,2,3,0
9053.72,2,1,1,2,12,1
507.95,10,0,0,1,5,0
3694.58,9,0,0,0,5,0
1649.69,15,0,1,0,2,0
922.34,14,1,0,1,3,0
2395.96,14,0,0,0,5,0
4907.05,21,0,0,1,4,0
2848.46,15,0,1,1,2,0
4313.39,21,0,0,1,0,0
2208.59,9,0,1,1,0,0
3392.19,20,0,1,1,4,0
3505.19,9,1,1,2,1,0
3321.25,18,1,0,2,4,0
162.77,3,1,0,2,13,1
4850.05,8,0,1,2,3,0
1182.41,15,1,1,1,0,0
2240.42,9,1,1,2,0,0
23555.23,0,2,2,1,18,1
4751.32,13,0,0,1,2,0
3101.97,15,0,1,1,0,0
100.88,23,2,2,2,19,1
296.97,0,2,2,1,11,1
43348.75,23,2,0,2,8,1
4188.12,17,0,0,1,5,0
2525.44,15,0,1,2,0,0
2169.29,17,1,1,0,5,0
3654.44,10,0,0,2,4,0
1615.68,14,1,1,2,1,0
4817.37,12,1,0,0,3,0
4432.43,16,0,1,2,2,0
4677.27,18,0,0,0,4,0
3435.5,18,0,1,2,1,0
3473.92,13,0,0,2,3,0
4713.0,19,1,1,2,4,0
4237.19,20,0,1,0,0,0
274.74,8,0,0,0,2,0
740.53,8,0,0,2,0,0
2267.99,17,0,1,2,4,0
2558.99,20,0,1,2,0,0
1943.51,20,0,1,0,0,0
1023.2,21,1,0,2,5,0
1844.66,17,0,1,0,2,0
4916.45,9,0,0,2,4,0
211.64,1,1,2,2,8,1
3550.64,10,0,0,1,4,0
346.24,3,2,0,2,16,1
927.32,9,0,0,2,4,0
1753.17,11,0,0,1,2,0
3765.0,16,1,1,2,0,0
20570.33,0,2,1,1,14,1
3621.91,8,0,1,2,3,0
1488.91,18,0,0,2,0,0
845.13,20,0,1,0,1,0
3869.4,21,1,0,0,4,0
4393.52,19,1,1,0,5,0
128.5,19,0,0,0,0,0
40739.67,2,2,1,2,18,1
1588.54,14,0,1,0,5,0
325.49,19,0,1,0,2,0
539.51,20,0,1,0,2,0
2193.57,14,0,0,0,4,0
3735.56,20,0,1,0,2,0
4570.79,20,0,0,2,4,0
329.09,22,1,1,1,19,1
3631.7,11,1,1,2,1,0
1111.51,21,0,0,0,1,0
2840.22,8,1,1,2,0,0
346.07,9,0,1,2,3,0
1791.76,18,0,0,1,4,0
294.34,22,2,2,1,17,1
4039.61,14,0,0,1,1,0
3563.16,18,1,0,1,1,0
1664.17,15,1,0,1,2,0
552.97,18,0,0,0,4,0
3669.65,18,0,1,0,0,0
3161.18,21,1,1,0,0,0
2721.37,16,1,1,0,2,0
4457.38,17,0,0,1,4,0
1989.56,16,0,1,0,4,0
3787.7,10,1,0,0,4,0
3299.81,10,1,0,0,1,0
1166.2,12,0,0,0,5,0
4538.65,13,1,0,1,0,0
141.29,23,2,2,1,14,1
1832.47,18,0,1,1,3,0
1122.04,14,0,0,1,3,0
42.92,10,1,0,0,0,0
1410.96,10,0,0,1,4,0
600.35,11,1,0,2,0,0
2398.81,11,0,1,1,0,0
648.02,17,0,0,2,4,0
122.36,1,2,2,1,19,1
4107.48,9,0,0,2,3,0
860.96,21,1,1,0,4,0
917.42,18,0,0,2,5,0
2272.36,17,0,0,1,3,0
309.08,1,1,0,2,17,1
4389.11,16,0,0,1,5,0
431.01,22,2,1,1,19,1
1154.91,20,1,0,1,4,0
4539.31,21,0,0,0,2,0
1170.01,21,0,0,2,4,0
953.03,19,0,1,2,0,0
1881.02,11,0,0,1,0,0
3260.71,12,0,1,1,4,0
1384.77,18,1,0,1,4,0
2417.03,13,1,0,1,4,0
3529.71,19,0,1,0,5,0
3916.93,10,0,0,2,3,0
4005.46,17,0,0,1,5,0
158.13,0,1,1,1,13,1
253.73,22,2,2,1,20,1
3204.41,15,0,0,2,4,0
177.68,17,0,1,0,5,0
15766.55,0,2,1,2,18,1
2933.95,16,0,1,2,0,0
2751.92,19,0,0,1,1,0
980.49,14,0,0,0,3,0
2797.01,16,0,0,0,4,0
4380.93,21,0,1,1,3,0
3851.37,20,0,0,2,3,0
4310.63,15,0,0,0,3,0
4970.05,18,0,0,1,2,0
58.51,21,0,0,1,0,0
3745.7,13,0,1,0,3,0
1100.43,17,0,0,2,5,0
958.75,19,0,0,2,1,0
1041.62,11,0,1,1,1,0
608.07,9,1,1,0,4,0
4240.72,13,0,0,2,2,0
4921.15,16,0,0,0,4,0
28658.09,22,2,1,1,15,1
3493.54,15,0,1,0,0,0
1902.97,9,0,0,2,2,0
1321.35,12,1,1,1,2,0
2125.05,14,0,0,1,2,0
2860.76,17,0,0,2,2,0
2780.59,21,1,0,0,5,0
170.64,1,2,1,2,12,1
2842.93,14,0,1,0,0,0
1278.65,21,0,0,2,2,0
1807.57,16,0,0,0,3,0
44031.59,22,1,1,2,13,1
2442.11,19,1,0,1,4,0
3161.61,10,0,1,1,3,0
2861.9,21,0,0,0,2,0
1590.91,12,0,1,2,3,0
2229.6,21,0,1,2,4,0
2075.39,10,0,0,2,1,0
4701.84,19,0,0,0,3,0
7870.66,0,2,2,1,9,1
784.66,18,1,0,0,1,0
2220.93,10,0,1,0,0,0
466.11,3,2,2,2,10,1
3490.44,10,1,1,2,5,0
2180.1,18,0,0,1,4,0
456.79,12,0,0,1,1,0
10.46,21,0,0,1,3,0
3441.28,15,1,0,0,3,0
2988.45,20,0,1,1,1,0
2806.61,14,0,0,2,5,0
4143.02,11,0,0,1,5,0
3824.28,17,0,0,2,5,0
1351.15,11,0,0,0,2,0
281.11,1,2,0,1,8,1
120.41,9,0,0,0,5,0
50.93,9,0,0,1,1,0
1564.46,20,1,0,1,5,0
1657.61,21,0,0,1,3,0
176.88,3,1,0,1,14,1
2219.93,19,0,0,1,5,0
2609.96,11,1,0,2,2,0
801.31,19,0,1,2,4,0
219.53,0,1,0,1,18,1
85.17,20,0,1,0,3,0
54.55,8,1,1,2,1,0
456.42,10,1,0,2,4,0
4847.59,20,0,0,1,5,0
2685.87,9,0,0,0,2,0
3944.13,20,0,0,2,1,0
389.76,0,2,2,2,16,1
3487.52,11,0,1,1,2,0
1383.59,21,0,0,2,1,0
4098.08,16,0,0,0,5,0
3670.22,8,0,1,0,2,0
3294.21,16,1,0,2,5,0
2761.27,17,0,0,1,5,0
490.22,18,0,0,0,1,0
1018.17,15,0,0,0,4,0
1948.72,15,0,0,1,1,0
363.59,11,1,0,1,5,0
475.3,2,1,2,2,16,1
8167.47,22,1,0,1,16,1
973.47,18,0,1,2,1,0
2794.57,19,0,1,2,2,0
3515.02,14,0,0,0,4,0
1693.85,10,1,0,1,4,0
1629.7,13,1,1,1,5,0
1210.96,16,0,0,2,5,0
4807.68,15,1,0,2,0,0
2982.26,16,0,0,0,2,0
1081.75,13,0,1,1,4,0
2857.06,17,0,0,0,3,0
700.52,13,0,0,1,2,0
22990.92,23,2,1,1,15,1
3450.39,17,0,1,2,2,0
41375.35,2,2,1,2,9,1
1141.09,18,0,1,2,3,0
28597.25,2,1,0,1,18,1
1970.09,15,0,0,1,2,0
748.43,13,0,0,2,5,0
134.03,23,1,0,2,16,1
1982.25,17,0,1,2,5,0
1218.91,12,1,0,2,4,0
269.42,1,2,1,1,20,1
4937.4,17,1,1,0,3,0
179.87,1,1,0,1,11,1
4633.45,21,0,0,1,5,0
1532.23,15,0,0,0,5,0
1026.76,16,0,1,1,4,0
715.18,19,0,0,2,5,0
1284.47,8,0,0,2,4,0
2329.69,8,0,0,2,2,0
4564.3,13,0,0,1,5,0
4898.19,16,0,0,1,4,0
940.04,16,1,1,2,0,0
221.97,3,1,0,2,18,1
3129.28,11,0,0,2,2,0
4452.22,21,0,1,1,1,0
4486.01,18,0,0,2,3,0
3392.52,21,0,0,0,4,0
4852.01,17,0,0,2,1,0
701.36,16,0,0,1,5,0
2623.27,10,1,0,2,4,0
1593.99,16,0,0,1,1,0
3828.76,14,1,0,1,5,0
4470.82,19,0,0,0,0,0
494.38,22,1,2,1,11,1
1802.35,19,1,0,2,4,0
3250.7,10,1,0,1,1,0
1138.88,14,0,0,1,1,0
4940.35,20,0,0,0,3,0
2454.33,13,1,0,1,3,0
3042.96,21,1,1,1,3,0
3714.17,17,0,1,0,3,0
4389.18,11,1,1,0,4,0
3827.38,8,0,0,1,3,0
3869.87,12,1,0,1,2,0
282.13,16,0,0,2,3,0
27529.6,3,2,1,2,8,1
2955.08,19,0,0,0,2,0
